"x","y"
522.820996862404,3537.10607717676
3440.9038062857,-1454.44338277129
3445.74761756955,-1450.02675357303
3453.11431460958,-1443.56271908616
3832.59312536694,-815.082786092566
-1764.44949352827,2389.45358539791
-1845.9453259353,2215.73927428391
514.835597490453,3530.8079033231
2226.47702047366,-2846.70142362132
-1022.49896342915,3020.83334747905
-1044.69761272261,3021.73340139622
2171.70971464604,-3005.78202321034
3376.12051362935,-368.466235340765
3366.09312543513,-363.375357571329
3402.84216676958,-389.576365795219
3414.87246850358,-402.207343838686
3423.70208988227,-406.138458796238
3442.80553295122,-422.990741789231
3456.43220105365,-426.951450598231
3563.12353664716,-534.236255051845
