Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
"Sea urchins as biological control of ""fouling"" in a culture of Nodipecten nodosus (Linnaeus, 1758) in the Santa Marta area, Colombian Caribbean [Erizos de mar como control biológico del ""fouling"" en un cultivo de nodipecten nodosus (linnaeus, 1758) en el área de Santa Marta, Caribe Colombiano]",https://www.researchgate.net/publication/317492056_Sea_urchins_as_biological_control_of_fouling_in_a_culture_of_Nodipecten_nodosus_Linnaeus_1758_in_the_Santa_Marta_area_Colombian_Caribbean,11,20,,N,11.33333333,74,10,,W,-74.16666667,,
"Reproductive biology of Echinometra lucunter (Echinodermata: Echinoidea) in Praia da Costa, Vila Velha, Espírito Santo [Biologia reprodutiva de echinometra lucunter (echinodermata: Echinoidea) na praia da costa, vila velha, espírito santo]",10.1590/S1984-46702009000400008,20,,206.39,S,-20.05733056,40,16,43.59,W,-40.278775,,
Isolation of elatol from Laurencia microcladia and its palatability to the sea urchin Echinometra lucunter,10.1016/j.bse.2009.04.004,27,7,54,S,-27.13166667,48,31,40,W,-48.52777778,,
Differential impacts of echinoid grazers on coral recruitment,https://www.ingentaconnect.com/content/umrsmas/bullmar/2009/00000085/00000002/art00001#,24,39,47,N,24.66305556,81,15,50,W,-81.26388889,,
Anti-mitotic activity towards sea urchin eggs of dichloromethane fraction obtained from Allamanda schottii Pohl (Apocynaceae),10.1590/S0102-695X2009000300002,7,1,55.55,S,-7.032097222,34,49,14.96,W,-34.82082222,,
"Reproductive activity of the sea urchins Lytechinus variegates and Echinometra lucunter (Echinodermata: Echinoidea) in relation to environmental factors at the Gulf of Cariaco, Venezuela [Actividad reproductiva de los erizos Lytechinus variegatus y Echinometra lucunter (Echinodermata: Echinoidea) en relación con factores ambientales en el Golfo de Cariaco, Venezuela]",https://www.researchgate.net/publication/288630723_Reproductive_activity_of_the_sea_urchins_Lytechinus_variegates_and_Echinometra_lucunter_Echinodermata_Echinoidea_in_relation_to_environmental_factors_at_the_Gulf_of_Cariaco_Venezuela,10,26,56,N,10.44888889,64,2,,W,-64.03333333,,
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,11,50,N,19.19722222,96,4,6,W,-96.06833333,,
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,21,30,8.4,N,21.50233333,86,47,45.3,W,-86.79591667,,28/02/2001
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,20,35,21.5,N,20.58930556,86,43,44,W,-86.72888889,,24/03/2001
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,19,54,22.4,N,19.90622222,87,26,14.5,W,-87.43736111,,18/02/2001
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,18,43,28,N,18.72444444,87,42,5,W,-87.70138889,,22/03/2000
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,18,32,23,N,18.53972222,87,44,32,W,-87.74222222,,27/06/2000
"Parasitism of Monogamus minibulla (Olsson and McGinty, 1958) (Gastropoda: Eulimidae) on the red sea-urchin Echinometra lucunter (Linnaeus, 1758) (Echinodermata: Echinometridae) on the Caribbean coast of Mexico",https://www.researchgate.net/publication/292010789_Parasitism_of_Monogamus_minibulla_Olsson_and_McGinty_1958_Gastropoda_Eulimidae_on_the_red_sea-urchin_Echinometra_lucunter_Linnaeus_1758_Echinodermata_Echinometridae_on_the_Caribbean_coast_of_Mexico,18,30,42,N,18.51166667,87,45,30,W,-87.75833333,,15/05/1999
Innate immune response in the sea urchin Echinometra lucunter (Echinodermata),10.1016/j.jip.2007.10.004,23,49.53,,S,-23.8255,0.45,26.394,,W,-0.8899,,
"Growth, survival, and longevity estimates for the rock-boring sea urchin Echinometra lucunter lucunter (Echinodermata, Echinoidea) in Bermuda",https://www.researchgate.net/publication/233686001_Growth_Survival_and_Longevity_Estimates_for_the_Rock-Boring_Sea_Urchin_Echinometra_lucunter_lucunter_Echinodermata_Echinoidea_in_Bermuda,32,17,43,N,32.29527778,64,44,51,W,-64.7475,,11/2005
"Growth, survival, and longevity estimates for the rock-boring sea urchin Echinometra lucunter lucunter (Echinodermata, Echinoidea) in Bermuda",https://www.researchgate.net/publication/233686001_Growth_Survival_and_Longevity_Estimates_for_the_Rock-Boring_Sea_Urchin_Echinometra_lucunter_lucunter_Echinodermata_Echinoidea_in_Bermuda,32,21,7,N,32.35194444,64,39,45,W,-64.6625,,11/2005
"Growth, survival, and longevity estimates for the rock-boring sea urchin Echinometra lucunter lucunter (Echinodermata, Echinoidea) in Bermuda",https://www.researchgate.net/publication/233686001_Growth_Survival_and_Longevity_Estimates_for_the_Rock-Boring_Sea_Urchin_Echinometra_lucunter_lucunter_Echinodermata_Echinoidea_in_Bermuda,32,21,10,N,32.35277778,64,39,50,W,-64.66388889,,11/2005
Effects of hypo- and hypersaline seawater on the microanatomy and ultrastructure of epithelial tissues of Echinometra lucunter (Echinodermata: Echinoidea) of intertidal and subtidal populations,https://www.researchgate.net/publication/252071371_Effects_of_Hypo_and_Hypersaline_Seawater_on_the_Microanatomy_and_Ultrastructure_of_Epithelial_Tissues_of_Echinometra_lucunter_Echinodermata_Echinoidea_of_Intertidal_and_Subtidal_Populations,26,46,,S,-26.76666667,48,38,,W,-48.63333333,,
Effects of hypo- and hypersaline seawater on the microanatomy and ultrastructure of epithelial tissues of Echinometra lucunter (Echinodermata: Echinoidea) of intertidal and subtidal populations,https://www.researchgate.net/publication/252071371_Effects_of_Hypo_and_Hypersaline_Seawater_on_the_Microanatomy_and_Ultrastructure_of_Epithelial_Tissues_of_Echinometra_lucunter_Echinodermata_Echinoidea_of_Intertidal_and_Subtidal_Populations,25,30,,S,-25.5,48,15,,W,-48.25,,
Palatability of macroalgae that use different types of chemical defenses,10.1007/s10886-006-9116-x,27,27.769,,N,27.46281667,80,3.833,,W,-80.06388333,,
Larval growth and survival of Echinometra lucunter (Echinoidea: Echinometridae) fed with microalgae Chaetoceros gracilis and Isochrysis galbana [Crecimiento y supervivencia de larvas de Echinometra lucunter (Echinoidea: Echinometridae) alimentadas con las microalgas Chaetoceros gracilis e Isochrysis galbana.],https://www.researchgate.net/publication/6361244_Larval_growth_and_survival_of_Echinometra_lucunter_Echinoidea_Echinometridae_fed_with_microalgae_Chaetoceros_gracilis_and_Isochrysis_galbana,11,48,29,N,11.80805556,64,13,10,W,-64.21944444,,
Temperature limits to fertilization and early development in the tropical sea urchin Echinometra lucunter,10.1016/S0022-0981(98)00210-X,27,28,,N,27.46666667,80,17,,W,-80.28333333,,
Behaviour of echinoid larvae around sharp haloclines: Effects of the salinity gradient and dietary conditioning,10.1007/s002270050337,27,44,12,N,27.73666667,80,32,20,W,-80.53888889,,21/06 - 27-04/1995
The boreholes of the sea urchin genus Echinometra (Echinodermata: Echinoidea: Echinometridae) as a microhabitat in tropical south America,10.1111/j.1439-0485.1996.tb00499.x,11,12,,N,11.2,74,6,,W,-74.1,,10/1990 - 03/1992
Survival of seaweeds ingested by three species of tropical sea urchins from Brazil,10.1007/BF00017495,23,50,,S,-23.83333333,45,24,,W,-45.4,,09/1998
Aggression among sea urchins on Caribbean coral reefs,10.1016/0022-0981(90)90127-X,9,33,,N,9.55,78,57,,W,-78.95,,
"Water-level fluctuations, emersion regimes, and variations of echinoid populations on a Caribbean reef flat",10.1016/0272-7714(86)90095-8,9,24,18,N,9.405,79,51,48.5,W,-79.86347222,,
Predation on the urchin Echinometra lucunter (Linnaeus) by migratory shorebirds on a tropical reef flat,10.1016/0022-0981(85)90019-X,9,24,18,N,9.405,79,57,48,W,-79.96333333,,
Activities and kinetics of digestive α- and β-glucosidase and β-galactosidase of five species of echinoids (Echinodermata),10.1016/0300-9629(84)90603-0,24,38,,N,24.63333333,81,18,,W,-81.3,,05-07/1982
"Antioxidant defenses in the coelomic fluid of Echinometra lucunter (Linnaeus, 1758) stimulated with bacterial inoculums",10.15359/revmar.11-1.2,10,26,56,N,10.44888889,64,2,,W,-64.03333333,1-5,
Mitochondrial permeability transition pore (MPTP) desensitization increases sea urchin spermatozoa fertilization rate,10.1002/cbin.10647,7,9,,S,-7.15,34,47,,W,-34.78333333,,
"Cathepsin B/X is secreted by Echinometra lucunter sea urchin spines, a structure rich in granular cells and toxins",10.1186/1678-9199-19-33,23,49,53,S,-23.83138889,45,31,18,W,-45.52166667,,
"Biological and economic subsidies for rational exploration of the sea-urchin Echinometra locunter (1.,1758)",https://www.jstor.org/stable/25742963?seq=1,26,58,,S,-26.96666667,48,35,,W,-48.58333333,,
