"decimalLongitude","decimalLatitude","dsp","PA1"
-83.875,27.625,1,TRUE
-83.4583333333333,27.625,1,TRUE
-83.125,27.625,1,TRUE
-82.7083333333333,27.625,1,TRUE
-83.0416666666667,27.5416666666667,1,TRUE
-82.9583333333333,27.5416666666667,1,TRUE
-82.7916666666667,27.5416666666667,1,TRUE
-80.2916666666667,27.4583333333333,1,TRUE
-82.625,27.2916666666667,1,TRUE
-80.0416666666667,27.2916666666667,1,TRUE
-82.4583333333333,27.0416666666667,1,TRUE
-82.375,26.875,1,TRUE
-83.375,26.7916666666667,1,TRUE
-82.7083333333333,26.7916666666667,1,TRUE
-82.125,26.7916666666667,1,TRUE
-76.875,26.5416666666667,1,TRUE
-83.7916666666667,26.4583333333333,1,TRUE
-82.9583333333333,26.4583333333333,1,TRUE
-82.2083333333333,26.4583333333333,1,TRUE
-81.9583333333333,26.4583333333333,1,TRUE
-83.7083333333333,26.375,1,TRUE
-83.375,26.375,1,TRUE
-82.9583333333333,26.375,1,TRUE
-82.4583333333333,26.375,1,TRUE
-82.375,26.375,1,TRUE
-82.125,26.375,1,TRUE
-83.375,26.2916666666667,1,TRUE
-82.7083333333333,26.2916666666667,1,TRUE
-82.2083333333333,26.2916666666667,1,TRUE
-80.0416666666667,26.125,1,TRUE
-82.125,26.0416666666667,1,TRUE
-83.375,25.7916666666667,1,TRUE
-82.5416666666667,25.7916666666667,1,TRUE
-82.125,25.7916666666667,1,TRUE
-80.2083333333333,25.5416666666667,1,TRUE
-80.0416666666667,25.5416666666667,1,TRUE
-81.5416666666667,25.4583333333333,1,TRUE
-83.625,25.2916666666667,1,TRUE
-83.0416666666667,25.2916666666667,1,TRUE
-82.875,25.2916666666667,1,TRUE
-82.125,25.2916666666667,1,TRUE
-81.7916666666667,25.2916666666667,1,TRUE
-81.625,25.2916666666667,1,TRUE
-81.7916666666667,25.2083333333333,1,TRUE
-81.375,25.2083333333333,1,TRUE
-80.5416666666667,25.2083333333333,1,TRUE
-83.125,25.0416666666667,1,TRUE
-83.0416666666667,24.9583333333333,1,TRUE
-80.2916666666667,24.9583333333333,1,TRUE
-83.2083333333333,24.7916666666667,1,TRUE
-83.125,24.7916666666667,1,TRUE
-81.125,24.7916666666667,1,TRUE
-80.875,24.7916666666667,1,TRUE
-83.125,24.7083333333333,1,TRUE
-81.2083333333333,24.7083333333333,1,TRUE
-81.125,24.7083333333333,1,TRUE
-77.7083333333333,24.7083333333333,1,TRUE
-82.7083333333333,24.625,1,TRUE
-81.4583333333333,24.625,1,TRUE
